algorithm,seed,episode,window_index,window_start_step,window_end_step,arm_id,arm_name,window_cumulative_reward,window_cumulative_profit,window_mean_fish_stock,window_min_fish_stock,window_collapse_flag,window_time_to_collapse,end_ships,end_fish_population
ucb1,0,1,3,30,39,7,weak_capacity_control,-100.55626119379933,-1199.919120068375,77.23895115228476,69.61524112997978,1,0,0.42705910285711063,69.61524112997978
softmax,0,1,3,30,39,7,weak_capacity_control,-100.55626119379933,-1199.919120068375,77.23895115228476,69.61524112997978,1,0,0.42705910285711063,69.61524112997978
pac_successive_elimination,0,1,3,30,39,3,moderate_taxation,0.8813439175970361,-509.22045919473544,166.8677252150126,148.2063821349172,0,,0.45517489940297945,148.2063821349172
epsilon_greedy,0,1,4,40,49,7,weak_capacity_control,-99.87510828716879,-513.4427103907245,76.60013078663175,74.95327320243389,1,0,0.17889671854334988,74.95327320243389
ucb1,0,1,4,40,49,7,weak_capacity_control,-99.99275753515425,-544.7100541464667,66.23430227906685,64.81157573410937,1,0,0.17889671854334988,64.81157573410937
softmax,0,1,4,40,49,7,weak_capacity_control,-99.99275753515425,-544.7100541464667,66.23430227906685,64.81157573410937,1,0,0.17889671854334988,64.81157573410937
pac_successive_elimination,0,1,4,40,49,4,high_taxation,0.8325884917844175,-332.3437880873488,139.79187358461195,136.0640890081892,0,,0.19067453502738657,136.0640890081892
epsilon_greedy,0,1,5,50,59,7,weak_capacity_control,-99.591097747303,-218.21836664155998,75.25447432062774,74.8328842484042,1,0,0.074940530927605,76.10808000000034
ucb1,0,1,5,50,59,7,weak_capacity_control,-99.6886091012348,-230.8885876618605,65.07353837124532,64.70802322165552,1,0,0.074940530927605,65.81291244353963
softmax,0,1,5,50,59,7,weak_capacity_control,-99.6886091012348,-230.8885876618605,65.07353837124532,64.70802322165552,1,0,0.074940530927605,65.81291244353963
pac_successive_elimination,0,1,5,50,59,5,hard_capacity_control,0.986525658718135,-147.845145547314,136.12449651185392,135.57360315714942,0,,0.07987430404355923,137.36680036737533
epsilon_greedy,0,1,6,60,69,7,weak_capacity_control,-99.43885628084341,-90.15553708023171,78.15591074842035,76.41413051124577,1,0,0.03139287976570931,80.12335511972626
ucb1,0,1,6,60,69,7,weak_capacity_control,-99.53242042209965,-95.63170556904626,67.58535401632729,66.07784570581023,1,0,0.03139287976570931,69.28806030275011
softmax,0,1,6,60,69,7,weak_capacity_control,-99.53242042209965,-95.63170556904626,67.58535401632729,66.07784570581023,1,0,0.03139287976570931,69.28806030275011
pac_successive_elimination,0,1,6,60,69,7,weak_capacity_control,1.1139657419596858,-59.679063373304025,140.83737663995876,137.8698565935431,0,,0.03345965650592302,144.2384155519561
epsilon_greedy,0,1,7,70,79,7,weak_capacity_control,-99.34458993622601,-36.74962829653764,83.05916304846247,80.61987725029367,1,0,0.013150599385749199,85.63176822369218
ucb1,0,1,7,70,79,7,weak_capacity_control,-99.4406081626883,-39.18046241179946,71.82867596681893,69.71774923775551,1,0,0.013150599385749199,74.0549755342241
softmax,0,1,7,70,79,7,weak_capacity_control,-99.4406081626883,-39.18046241179946,71.82867596681893,69.71774923775551,1,0,0.013150599385749199,74.0549755342241
pac_successive_elimination,0,1,7,70,79,10,moderate_marine_reserve,1.2152620078946246,-32.23290823545913,149.69938993561004,145.1727306248206,0,,0.014016380197614167,154.43842016466544
epsilon_greedy,0,1,8,80,89,7,weak_capacity_control,-99.27218605470974,-14.853853937759881,89.12013590736379,86.24033522868635,1,0,0.005508837210703079,92.0965130294148
ucb1,0,1,8,80,89,11,strong_marine_reserve,-99.37571849900709,-18.733611602433704,77.1618135114413,74.60110326583398,1,0,0.005508837210703079,79.79479106786124
softmax,0,1,8,80,89,11,strong_marine_reserve,-99.37571849900709,-18.733611602433704,77.1618135114413,74.60110326583398,1,0,0.005508837210703079,79.79479106786124
pac_successive_elimination,0,1,8,80,89,11,strong_marine_reserve,1.3254559175747809,-15.119502584619061,160.869050419128,155.5681618028492,0,,0.005871516158849192,166.32147432477225
epsilon_greedy,0,1,9,90,99,5,hard_capacity_control,-99.20591485314618,-5.96275577394752,96.00574831533282,92.78596452626654,1,0,0.002307673325286836,99.3088211377408
