algorithm,seed,episode,window_index,window_start_step,window_end_step,context_bias,context_fish_norm,context_ships_norm,context_time_norm,arm_id,arm_name,window_cumulative_reward,window_cumulative_profit,window_mean_fish_stock,window_min_fish_stock,window_collapse_flag,window_time_to_collapse,end_ships,end_fish_population
discretized_contextual,0,1,4,40,49,1.0,0.058012700941649814,0.042705910285711066,0.3333333333333333,5,hard_capacity_control,-99.99275753515425,-544.7100541464667,66.23430227906685,64.81157573410937,1,0,0.17889671854334988,64.81157573410937
linucb,0,1,5,50,59,1.0,0.05400964644509114,0.017889671854334988,0.4166666666666667,11,strong_marine_reserve,-99.71197404468631,-262.73424069429916,66.091223520959,64.96751845301627,1,0,0.074940530927605,67.47117386730665
contextual_thompson,0,1,5,50,59,1.0,0.05400964644509114,0.017889671854334988,0.4166666666666667,11,strong_marine_reserve,-99.71197404468631,-262.73424069429916,66.091223520959,64.96751845301627,1,0,0.074940530927605,67.47117386730665
discretized_contextual,0,1,5,50,59,1.0,0.05400964644509114,0.017889671854334988,0.4166666666666667,7,weak_capacity_control,-99.6886091012348,-230.8885876618605,65.07353837124532,64.70802322165552,1,0,0.074940530927605,65.81291244353963
linucb,0,1,6,60,69,1.0,0.05622597822275554,0.0074940530927604995,0.5,1,baseline_laissez_faire,-99.51734957730199,-94.74963688104943,69.28800714948845,67.74273592749914,1,0,0.03139287976570931,71.03338484039924
contextual_thompson,0,1,6,60,69,1.0,0.05622597822275554,0.0074940530927604995,0.5,1,baseline_laissez_faire,-99.51734957730199,-94.74963688104943,69.28800714948845,67.74273592749914,1,0,0.03139287976570931,71.03338484039924
discretized_contextual,0,1,6,60,69,1.0,0.054844093702949695,0.0074940530927604995,0.5,1,baseline_laissez_faire,-99.53242042209965,-95.63170556904626,67.58535401632729,66.07784570581023,1,0,0.03139287976570931,69.28806030275011
linucb,0,1,7,70,79,1.0,0.059194487366999365,0.0031392879765709306,0.5833333333333334,4,high_taxation,-99.42514143905552,-38.788903452376346,73.63769572762186,71.47384572427126,1,0,0.013150599385749199,75.91981109655678
contextual_thompson,0,1,7,70,79,1.0,0.059194487366999365,0.0031392879765709306,0.5833333333333334,3,moderate_taxation,-99.42514143905552,-38.788903452376346,73.63769572762186,71.47384572427126,1,0,0.013150599385749199,75.91981109655678
discretized_contextual,0,1,7,70,79,1.0,0.05774005025229176,0.0031392879765709306,0.5833333333333334,11,strong_marine_reserve,-99.4451760432704,-45.38063502969419,72.02455101111848,69.76125227268118,1,0,0.013150599385749199,74.37764707785732
