algorithm,seed,episode,cumulative_reward,cumulative_profit,min_fish_stock,collapse_flag,time_to_collapse,final_ships,final_fish_population,decision_windows
ucb1,0,5,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
softmax,0,5,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
pac_successive_elimination,0,5,130.65138523468588,7221.063201840793,195.42318102032664,0,,0.0003093335518708259,955.887903564105,30
epsilon_greedy,0,6,-1126.6786549488354,3379.8489879612644,64.70802322165552,1,25,6.964498674205656e-10,397.8597779358126,30
ucb1,0,6,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
softmax,0,6,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
pac_successive_elimination,0,6,130.65138523468588,7221.063201840793,195.42318102032664,0,,0.0003093335518708259,955.887903564105,30
epsilon_greedy,0,7,-549.5950530223867,2999.732389045326,94.31446088979158,1,32,6.974649437804372e-07,569.3760566083112,30
ucb1,0,7,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
softmax,0,7,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
pac_successive_elimination,0,7,130.65138523468588,7221.063201840793,195.42318102032664,0,,0.0003093335518708259,955.887903564105,30
epsilon_greedy,0,8,-1002.847495321009,3593.490077994045,70.04073681599141,1,27,2.251423976769995e-09,426.9666282481096,30
ucb1,0,8,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
softmax,0,8,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
pac_successive_elimination,0,8,130.65138523468588,7221.063201840793,195.42318102032664,0,,0.0003093335518708259,955.887903564105,30
epsilon_greedy,0,9,94.46190859003185,5974.952223445178,128.0561653727147,0,,1.5617571519774102e-05,743.4184714024336,30
ucb1,0,9,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
softmax,0,9,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
pac_successive_elimination,0,9,130.65138523468588,7221.063201840793,195.42318102032664,0,,0.0003093335518708259,955.887903564105,30
epsilon_greedy,0,10,95.16147211486074,5946.790922440048,128.0561653727147,0,,1.1591991345149824e-05,749.9431417917485,30
ucb1,0,10,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
softmax,0,10,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
pac_successive_elimination,0,10,130.65138523468588,7221.063201840793,195.42318102032664,0,,0.0003093335518708259,955.887903564105,30
epsilon_greedy,0,11,94.46194967205007,5974.934140830603,128.0561653727147,0,,1.2917302869629396e-05,743.4207276474771,30
ucb1,0,11,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
softmax,0,11,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
pac_successive_elimination,0,11,130.65138523468588,7221.063201840793,195.42318102032664,0,,0.0003093335518708259,955.887903564105,30
epsilon_greedy,0,12,-61.847332855533324,5711.961297787717,117.81174478821956,1,46,2.703068368668427e-06,689.6452541919585,30
ucb1,0,12,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
softmax,0,12,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
pac_successive_elimination,0,12,130.65138523468588,7221.063201840793,195.42318102032664,0,,0.0003093335518708259,955.887903564105,30
