algorithm,seed,episode,window_index,window_start_step,window_end_step,arm_id,arm_name,window_cumulative_reward,window_cumulative_profit,window_mean_fish_stock,window_min_fish_stock,window_collapse_flag,window_time_to_collapse,end_ships,end_fish_population
ucb1,0,1,2,20,29,7,weak_capacity_control,-50.58587411208708,-1652.3190888752126,127.9733972145757,92.3055313030015,1,5,1.0194679858754725,92.3055313030015
softmax,0,1,2,20,29,7,weak_capacity_control,-50.58587411208708,-1652.3190888752126,127.9733972145757,92.3055313030015,1,5,1.0194679858754725,92.3055313030015
pac_successive_elimination,0,1,2,20,29,4,high_taxation,0.5183692522472306,-842.2073758300155,163.26919536926954,123.70648739551876,0,,0.8815022449630269,123.70648739551876
epsilon_greedy,0,1,3,30,39,11,strong_marine_reserve,-100.70539792766372,-1408.5079395189,84.37320142261937,80.5121429480269,1,0,0.42705910285711063,80.5121429480269
ucb1,0,1,3,30,39,7,weak_capacity_control,-100.55626119379933,-1199.919120068375,77.23895115228476,69.61524112997978,1,0,0.42705910285711063,69.61524112997978
softmax,0,1,3,30,39,7,weak_capacity_control,-100.55626119379933,-1199.919120068375,77.23895115228476,69.61524112997978,1,0,0.42705910285711063,69.61524112997978
pac_successive_elimination,0,1,3,30,39,5,hard_capacity_control,-99.96205765785585,-849.0843091641246,106.4431981569922,97.78007494828263,1,0,0.36926471759400875,97.78007494828263
epsilon_greedy,0,1,4,40,49,7,weak_capacity_control,-99.87510828716879,-513.4427103907245,76.60013078663175,74.95327320243389,1,0,0.17889671854334988,74.95327320243389
ucb1,0,1,4,40,49,7,weak_capacity_control,-99.99275753515425,-544.7100541464667,66.23430227906685,64.81157573410937,1,0,0.17889671854334988,64.81157573410937
softmax,0,1,4,40,49,7,weak_capacity_control,-99.99275753515425,-544.7100541464667,66.23430227906685,64.81157573410937,1,0,0.17889671854334988,64.81157573410937
pac_successive_elimination,0,1,4,40,49,7,weak_capacity_control,-99.61394547597318,-398.9317990853771,94.19835877346286,92.88818246655615,1,0,0.15468642585873654,92.88818246655615
epsilon_greedy,0,1,5,50,59,7,weak_capacity_control,-99.591097747303,-218.21836664155998,75.25447432062774,74.8328842484042,1,0,0.074940530927605,76.10808000000034
ucb1,0,1,5,50,59,7,weak_capacity_control,-99.6886091012348,-230.8885876618605,65.07353837124532,64.70802322165552,1,0,0.074940530927605,65.81291244353963
softmax,0,1,5,50,59,7,weak_capacity_control,-99.6886091012348,-230.8885876618605,65.07353837124532,64.70802322165552,1,0,0.074940530927605,65.81291244353963
pac_successive_elimination,0,1,5,50,59,10,moderate_marine_reserve,-99.40584140437026,-193.65773782414095,94.5379600144631,93.07029491480951,1,0,0.06479874519519657,96.3975378597746
epsilon_greedy,0,1,6,60,69,7,weak_capacity_control,-99.43885628084341,-90.15553708023171,78.15591074842035,76.41413051124577,1,0,0.03139287976570931,80.12335511972626
ucb1,0,1,6,60,69,7,weak_capacity_control,-99.53242042209965,-95.63170556904626,67.58535401632729,66.07784570581023,1,0,0.03139287976570931,69.28806030275011
softmax,0,1,6,60,69,7,weak_capacity_control,-99.53242042209965,-95.63170556904626,67.58535401632729,66.07784570581023,1,0,0.03139287976570931,69.28806030275011
pac_successive_elimination,0,1,6,60,69,11,strong_marine_reserve,-99.25484401671116,-86.20851346646992,99.76373961063827,96.95817360140698,1,0,0.027144446292310928,102.75087723270701
epsilon_greedy,0,1,7,70,79,7,weak_capacity_control,-99.34458993622601,-36.74962829653764,83.05916304846247,80.61987725029367,1,0,0.013150599385749199,85.63176822369218
ucb1,0,1,7,70,79,7,weak_capacity_control,-99.4406081626883,-39.18046241179946,71.82867596681893,69.71774923775551,1,0,0.013150599385749199,74.0549755342241
softmax,0,1,7,70,79,7,weak_capacity_control,-99.4406081626883,-39.18046241179946,71.82867596681893,69.71774923775551,1,0,0.013150599385749199,74.0549755342241
pac_successive_elimination,0,1,7,70,79,1,baseline_laissez_faire,-99.13890797657619,-27.292670317211684,106.60616324892311,103.40818054805,1,0,0.01137091408632357,109.9617837825349
epsilon_greedy,0,1,8,80,89,7,weak_capacity_control,-99.27218605470974,-14.853853937759881,89.12013590736379,86.24033522868635,1,0,0.005508837210703079,92.0965130294148
ucb1,0,1,8,80,89,11,strong_marine_reserve,-99.37571849900709,-18.733611602433704,77.1618135114413,74.60110326583398,1,0,0.005508837210703079,79.79479106786124
softmax,0,1,8,80,89,11,strong_marine_reserve,-99.37571849900709,-18.733611602433704,77.1618135114413,74.60110326583398,1,0,0.005508837210703079,79.79479106786124
pac_successive_elimination,0,1,8,80,89,3,moderate_taxation,-99.05680515120808,-10.775922054862603,114.47649250161435,110.75147613375808,1,0,0.004763320119562626,118.31958340245376
epsilon_greedy,0,1,9,90,99,5,hard_capacity_control,-99.20591485314618,-5.96275577394752,96.00574831533282,92.78596452626654,1,0,0.002307673325286836,99.3088211377408
ucb1,0,1,9,90,99,5,hard_capacity_control,-99.31324682480468,-6.44900135406356,83.18426118592572,80.3925586088605,1,0,0.002307673325286836,86.04824874319331
softmax,0,1,9,90,99,5,hard_capacity_control,-99.31324682480468,-6.44900135406356,83.18426118592572,80.3925586088605,1,0,0.002307673325286836,86.04824874319331
pac_successive_elimination,0,1,9,90,99,1,baseline_laissez_faire,-8.976263807111083,-4.201346870471051,123.35250477112646,119.20811426730057,1,0,0.0019953733173236885,127.60108023224724
epsilon_greedy,0,1,10,100,109,7,weak_capacity_control,-99.1390889263102,-2.374557286692068,103.59427571718008,100.06786205925833,1,0,0.0009666933279302226,107.20113722243556
ucb1,0,1,10,100,109,7,weak_capacity_control,-99.25456121836376,-2.5972512483213244,89.7643239461466,86.70641139551137,1,0,0.0009666933279302226,92.8921199328942
softmax,0,1,10,100,109,7,weak_capacity_control,-99.25456121836376,-2.5972512483213244,89.7643239461466,86.70641139551137,1,0,0.0009666933279302226,92.8921199328942
pac_successive_elimination,0,1,10,100,109,1,baseline_laissez_faire,1.1076059397244058,-1.615582605952471,133.106582679643,128.57663358915298,0,,0.0008358696404080706,137.73843866308047
epsilon_greedy,0,1,11,110,119,7,weak_capacity_control,-99.06878948365477,-0.9354482351112612,111.85751574963933,108.02730834814129,1,0,0.0004049515934620661,115.77033179346006
ucb1,0,1,11,110,119,7,weak_capacity_control,-99.19328722653104,-1.040369611373566,96.93037716964011,93.60859316459894,1,0,0.0004049515934620661,100.32390987286836
softmax,0,1,11,110,119,7,weak_capacity_control,-99.19328722653104,-1.040369611373566,96.93037716964011,93.60859316459894,1,0,0.0004049515934620661,100.32390987286836
pac_successive_elimination,0,1,11,110,119,1,baseline_laissez_faire,1.1970105939050113,-0.6109207654750932,143.71458176045834,138.79901078907986,0,,0.0003501490421316374,148.73530135201835
