algorithm,seed,episode,cumulative_reward,cumulative_profit,min_fish_stock,collapse_flag,time_to_collapse,final_ships,final_fish_population,decision_windows
discretized_contextual,0,9,-323.590752590131,4395.605495310627,109.79589200766469,1,31,0.0003515132065282664,177.55811437854743,12
linucb,0,10,-929.036153569278,3313.059167522438,68.51515841036272,1,25,0.0004049515934620661,106.30246002103608,12
contextual_thompson,0,10,-929.0186426047136,3304.0408302642445,68.51515841036272,1,25,0.0004049515934620661,106.99401058785513,12
discretized_contextual,0,10,-1.9597392806301972,4486.179212521901,119.91769271602334,1,42,0.000341932725593768,195.3856378014005,12
linucb,0,11,-928.9832064237916,3293.0628911685358,68.51515841036272,1,25,0.0004049515934620661,107.96588174720682,12
contextual_thompson,0,11,-929.2719493091715,3380.883653548025,64.70802322165552,1,25,0.0004049515934620661,100.14165942958724,12
discretized_contextual,0,11,28.687957152941358,5330.621281529599,122.8822264492235,0,,0.00032100872321417514,193.6087009024396,12
linucb,0,12,-929.2719493091715,3380.883653548025,64.70802322165552,1,25,0.0004049515934620661,100.14165942958724,12
contextual_thompson,0,12,-928.9832064237916,3293.0628911685358,68.51515841036272,1,25,0.0004049515934620661,107.96588174720682,12
discretized_contextual,0,12,31.381213389421255,5129.642178406183,152.86579376779173,0,,0.00030744351557859145,241.03897501981257,12
linucb,0,13,-929.2220686512719,3362.0482501990978,64.81157573410937,1,25,0.0004049515934620661,101.70891400400329,12
contextual_thompson,0,13,-929.2719493091715,3380.883653548025,64.70802322165552,1,25,0.0004049515934620661,100.14165942958724,12
discretized_contextual,0,13,31.3809770121261,5129.321716549313,152.86579376779173,0,,0.00030719298486522103,241.0556387321543,12
linucb,0,14,-929.036153569278,3313.059167522438,68.51515841036272,1,25,0.0004049515934620661,106.30246002103608,12
contextual_thompson,0,14,-928.9832064237916,3293.0628911685358,68.51515841036272,1,25,0.0004049515934620661,107.96588174720682,12
discretized_contextual,0,14,31.38403553255545,5124.659355149579,152.86579376779173,0,,0.0003075211027990014,241.35707918608225,12
linucb,0,15,-929.2554524198545,3372.388739775822,64.70802322165552,1,25,0.0004049515934620661,100.79321722348008,12
contextual_thompson,0,15,-929.2220686512719,3362.0482501990978,64.81157573410937,1,25,0.0004049515934620661,101.70891400400329,12
discretized_contextual,0,15,31.381213389421255,5129.642178406183,152.86579376779173,0,,0.00030744351557859145,241.03897501981257,12
linucb,0,16,-929.0186426047136,3304.0408302642445,68.51515841036272,1,25,0.0004049515934620661,106.99401058785513,12
contextual_thompson,0,16,-929.036153569278,3313.059167522438,68.51515841036272,1,25,0.0004049515934620661,106.30246002103608,12
discretized_contextual,0,16,31.381213389421255,5129.642178406183,152.86579376779173,0,,0.00030744351557859145,241.03897501981257,12
linucb,0,17,-929.2719493091715,3380.883653548025,64.70802322165552,1,25,0.0004049515934620661,100.14165942958724,12
